,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,CabinOrientation,Total_spent
0,Europa,0,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,0,1,Babor,0.0
1,Earth,0,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,1,1,Estribor,736.0
2,Europa,0,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,0,2,Estribor,10383.0
3,Europa,0,TRAPPIST-1e,33.0,0,0.0,1283.0,371.0,3329.0,193.0,0,2,Estribor,5176.0
4,Earth,0,TRAPPIST-1e,16.0,0,303.0,70.0,151.0,565.0,2.0,1,1,Estribor,1091.0
5,Earth,0,PSO J318.5-22,44.0,0,0.0,483.0,0.0,291.0,0.0,1,1,Babor,774.0
6,Earth,0,TRAPPIST-1e,26.0,0,42.0,1539.0,3.0,0.0,0.0,1,2,Estribor,1584.0
7,Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Estribor,0.0
8,Earth,0,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,1,1,Estribor,1018.0
9,Europa,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
10,Europa,1,TRAPPIST-1e,34.0,0,0.0,0.0,0.0,0.0,0.0,1,3,Babor,0.0
11,Europa,0,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,1,3,Babor,8157.0
12,Mars,0,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,1,1,Babor,1309.0
13,Earth,0,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,0,1,Estribor,809.0
14,Earth,0,TRAPPIST-1e,28.0,0,8.0,974.0,12.0,2.0,7.0,1,1,Babor,1003.0
15,Earth,0,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,0,1,Desconocido,908.0
16,Mars,0,55 Cancri e,27.0,0,1286.0,122.0,0.0,0.0,0.0,0,1,Babor,1408.0
17,Earth,0,55 Cancri e,24.0,0,0.0,1.0,0.0,0.0,637.0,0,1,Babor,638.0
18,Mars,1,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,1,1,Babor,0.0
19,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,Babor,0.0
